Rank,Amazon_Fake_Signal,Amazon_Weight,DOSC_Fake_Signal,DOSC_Weight
1,char__. the,8.1548,word__chicago,3.0385
2,char__.i ,7.6475,word__my,2.3683
3,char__. th,6.6385,word__when i,1.894
4,word__the only,6.5774,word__luxury,1.8916
5,word__and the,6.3547,word__i,1.7942
6,char__. i ,6.2124,char__hicag,1.517
7,char__. t,5.8731,char__chica,1.517
8,char__. i w,5.7427,char__icago,1.517
9,word__is a,5.7153,char__icag,1.517
10,char__. i h,5.5719,char__cago,1.517
11,word__has the,5.3974,char__hica,1.517
12,char__!very,5.3104,word__vacation,1.517
13,char__!ver,5.3104,char__cag,1.5078
14,char__!ve,5.3104,char__ chic,1.5013
15,word__and it,5.3008,char__chic,1.4882
16,word__will keep,4.8768,char__ chi,1.4565
17,word__i will,4.7819,word__and i,1.4546
18,word__have the,4.7446,char__ago,1.4514
19,char__. not,4.6191,word__my stay,1.4434
20,word__the most,4.5817,char__ica,1.4349
21,word__reason i,4.5624,word__chicago hotel,1.3576
22,word__nice bag,4.5257,word__i will,1.3347
23,char__. i l,4.4954,char__cago ,1.3344
24,word__but it,4.4445,char__ago ,1.3256
25,word__have one,4.4392,word__the food,1.2953
26,char__. i,4.2945,word__i would,1.2738
27,"char__, a",4.2923,char__lux,1.2729
28,char__.i b,4.2583,char__uxu,1.2711
29,char__.i bo,4.2583,char__luxu,1.2711
30,word__the pieces,4.2449,char__hic,1.2626
31,char__and t,4.235,word__spa,1.2356
32,word__very good,4.1394,word__i was,1.2316
33,"char__, an",3.965,word__staying,1.2292
34,word__i had,3.9554,word__food,1.2228
35,word__good enough,3.9449,char__ i w,1.2146
36,word__we love,3.934,word__make,1.1949
37,word__wife loved,3.91,char__xur,1.193
38,word__only reason,3.875,char__luxur,1.193
39,word__loves this,3.844,char__uxur,1.193
40,word__s been,3.7208,char__i w,1.1848
41,char__e. i ,3.6794,word__millennium,1.1827
42,char__e. i,3.6312,word__overall,1.1802
43,word__other two,3.5204,char__l chi,1.1761
44,word__and they,3.4747,word__smelled,1.1624
45,char__. gre,3.4689,word__to anyone,1.1599
46,char__he on,3.4471,char__ lux,1.1543
47,word__an,3.4325,char__ my,1.1487
48,char__e a ,3.4274,char__ my ,1.1422
49,word__it my,3.3632,char__ i ,1.1396
50,word__story is,3.3614,word__with my,1.138
